"Porque gosta mito e tranqüila oferece muitas coisas em um só lugar","0.27"
"Muita gente bonita","0.27"
"Bonitas praias","0.27"
"Natureza, o tamanho, tudo fica comodo, a galera","0.27"
"Agradavel","0.27"
"Serviço bom","0.27"
"Clima","0.27"
"Surf","0.27"
"Belezas naturais e noite de pips","0.27"
"Pelos atrativos e a cidade organizada","0.27"
"Conhecidos","0.27"
"Belo","0.27"
"Praias e baladas","0.27"
"Tranquila","0.27"
"Belezas naturais, cidade bonita","0.27"
"Fazer tudo denovo","0.27"
"Sol","0.27"
"Boa estrutura","0.27"
"Vida noturna","0.55"
"Vida noturna, praia","0.27"
"O lugar é aconchegante","0.27"
"Belas praias, amigos e baladas","0.27"
"Porquê eu amo","0.27"
"Acolhedor","0.27"
"Maravilhoso","0.27"
"Quer morar","0.27"
"Visitar familia, belezas naturais","0.27"
"Belo, limpo","0.27"
"Cidade sensacional","0.55"
"Gostei","1.37"
"Cidade aconchegante","0.27"
"Tranqüila","0.27"
"Muitas opções","0.27"
"É maravilhoso.","0.27"
"Praia é MT BOA","0.27"
"Ambiente agradável, mas ficaria menos tempo.","0.27"
"Muito linda , precisam melhorar infraestrutura e o atendimento. Não pode deixar CVC tomar conta , se não vai acabar com o destino, como ocorreu com Porto Seguro- BA","0.27"
"Beleza, pessoas","0.27"
"Diversão noturna, praias e ótimas pessoas","0.27"
"Gosto","0.27"
"Amo","0.27"
"Belezas naturais e cidade linda","0.27"
"Beleza","2.47"
"Praias, pessoas, noite","0.27"
"BOM, Bonito e gente muito simpatica","0.27"
"As praias bonitas local agradavel","0.27"
"As praias são muito bonitas","0.27"
"Receptiva","0.27"
"Local legal","0.27"
"Pela beleza","0.27"
"Lugar lindo","0.27"
"Gostam","0.27"
"Linda. Povo bonito e educado. Natureza bela","0.27"
"Porque é fácil, ascecivel ","0.27"
"Altas ondas","0.55"
"Praias bonitas, vida noturna","0.27"
"Lindo povo acolhedor","0.27"
"Porque o ambiente é agradável","0.27"
"Noite agitada e belas praias","0.27"
"Ondas","0.27"
"Pra conhecer mais","0.27"
"Lugar bom","0.27"
"Povo educado","0.27"
"Curtição, noite agitada, mulherada","0.27"
"Muito aconchegante e bonita","0.27"
"Gostei muito","0.27"
"Tudo lindo","0.27"
"Pequeno e bonito","0.27"
"Intercâmbio de culturas","0.27"
"Lugar aconchegante","0.27"
"Belezas naturais, bares e restaurantes","0.27"
"A noite de pipa","0.27"
"Diferenciado, atrativo, varias culturas","0.27"
"Amo a pipa","0.27"
"Ficar mais dias","0.27"
"Limpo","0.27"
"Adorá","0.27"
"Belezas naturais e noite agitada","0.27"
"Muitas atrações e pessoas","0.27"
"Belezas naturais","6.85"
"Divertido","0.27"
"Praia mais agitada do rn","0.27"
"Praias muito bonitas","0.27"
"Belezas naturais clima tropical","0.27"
"Praias e surfe","0.27"
"Achei bem atrativa","0.27"
"Cidade linda","0.55"
"Conhece","0.27"
"Porque me apaixonei","0.27"
"Bom","0.55"
"Sempre me surpreende","0.27"
"Bonito","2.47"
"Linda","0.82"
" Natureza","0.27"
"Muito belo","0.27"
"Muito tranquila","0.27"
"Para curti mesmos","0.27"
"Agradável","0.82"
"Atrativos turísticos","0.27"
"Muitos atrativos","0.27"
"Bonita","0.55"
"Noite de pipa","0.27"
"A paisagem","0.27"
"Gostoso","0.27"
"Praias,comercio, astral","0.27"
"Belezas naturais, voda noturna e gente bonita","0.27"
"Atendeu","0.27"
"A diversão é muito boa","0.27"
"Belezas naturais e eventos maravilhosos","0.27"
"As praias são muito atrativas","0.27"
"A noite","0.27"
"Beleza natural","0.27"
"Top","0.27"
"Muito agradavel","0.27"
"Belezas naturais estrutura da cidade agradavel","0.27"
"Boas ondas","0.27"
"Simpatia, natureza","0.27"
"Belezas naturais e pelas ondad","0.27"
"Belezas naturais
Pousadas
Gastronomia","0.27"
"Bonito, calmo e ambiente\clima praiano","0.27"
"hospitalidade,violência zero,muito lindo, diferente de tudo que vê no Brasil, paisagem naturais.","0.27"
",Vida noturna,gastronomia","0.27"
"Muito bonita ","0.27"
"Qualidade das prais","0.27"
"Segue de cidade em cidade e quase nunca volta a uma cidade","0.27"
"Porque é agradável e legal","0.27"
"Adora","0.27"
"Visitar amigos ","0.27"
"Sol e praia","0.27"
"Praias e festas","0.27"
"Belezas naturais e noite de pipa","3.01"
"Praias bonitas","0.27"
"Belezas naturais, vida noturna.","0.27"
"Clima muito bom","0.27"
"Natureza","0.55"
"Saudades do irmão","0.27"
"Muito bom","0.27"
"Tibau","0.27"
"Muito bonita","0.55"
"Amo Pipa, praias lindas, vida noturna e mulheres lindas","0.27"
"Muito tranquila e agradável.","0.27"
"A cidade eh linda e o clima eh maravilhoso","0.27"
"Melhor, surf, micro ponto.","0.27"
"Aconchegante, bom local para conhecer natureza, bons campings","0.27"
"Lugar preciso. Natureza. Seguro","0.27"
"As praias são limpas e o sempre ensolarada","0.27"
"Preço da cerveja","0.27"
"Natureza e noite da pipa","0.27"
"Acesso difícil","0.27"
"Muito legal","0.55"
"Muito lindo, tranquilidade,","0.27"
"Hospitalidade, ambientes, atrativos, tranquilidade","0.27"
"Passei pouco tempo","0.27"
"Vida noturna e belezas naturais","0.27"
"Bom demais","0.55"
"Positividade","0.27"
"Atrativos","0.27"
"Qualidade do atendimento, restaurantes e natureza","0.27"
"Hospitalidade","0.55"
"Belezas naturais e a noite é ótima.","0.27"
"Lugar q mais gosto","0.27"
"Gostaram","0.27"
"Porque aqui é o paraíso. Belicismo, fiquei maravilhada.","0.27"
"Ainda não","0.27"
"Belezas naturais e a noite de pipa","0.27"
"Porque gostou.","0.27"
"DMS esse lugar","0.27"
"Adoro o  sol e praias, moro em um lugar muito frio, tranquilidade","0.27"
"Devido ao turismo","0.27"
"Porque é tranquila, tem lindas praia","0.27"
"Pôquer é bonito r tem boas praias","0.27"
"Agradável, belezas naturais, acpnchegante","0.27"
"Praia bonita","0.27"
"Belezas naturais e noite","0.82"
"Porque a praia e a natureza são lindas.","0.27"
"Bom, gostei","0.27"
"Beleza, receptividade","0.27"
"Amo pipa","0.55"
"Praias e noite agitada","0.27"
"Praia","0.27"
"Praia limpa","0.27"
"Belezas","0.55"
"Eu amo ,qualidades de vida, aposentar e vir mora aqui,","0.27"
"É linda","0.27"
"Mar verde","0.27"
"Vida noturna, natureza","0.27"
"Visitar parentes","0.27"
"Vento,praia","0.27"
"Belezas naturais noite de pipa","0.55"
"Praias agradáveis, climas cidade e gostoso","0.27"
"Cidade maravilhosa","0.27"
"As praias são legais, as pessoas","0.27"
"Tranquilidade","2.74"
"Achei muito foda","0.27"
"Belezas naturais noite divertida","0.27"
"Beleza e tranquilidade","0.55"
"Pela tranquilidade","0.27"
"Atrativa","0.27"
"Baladas","0.27"
"Noite de pipa e praias","0.27"
"Belezas Naturais e noite de pipa","0.27"
"Noite, belezas naturais","0.27"
"Porque tem muitos Argentinos","0.27"
"Acolhedora","0.55"
"Melhor praia","1.10"
"Não Respondidos", "0.55","2"

"25- Recomendaria a cidade aos amigos?","PERCENTUAL"
"Sim","100.00"


"Hospedagem","PERCENTUAL"
"6000","0.88"
"2200","0.29"
"150","0.88"
"140","0.88"
"10000","0.29"
"300","5.00"
"850","0.29"
"550","0.59"
"330","0.29"
"53","0.59"
"560","0.29"
"70","0.59"
"2800","0.29"
"13000","0.29"
"2500","1.18"
"4000","0.59"
"40","0.29"
"50","0.88"
"400","3.82"
"2000","2.35"
"720","0.59"
"740","0.29"
"800","2.06"
"100","2.06"
"110","0.29"
"200","1.18"
"580","0.59"
"250","1.47"
"440","0.29"
"1200","1.76"
"1750","0.29"
"3500","0.59"
"90","1.47"
"310","0.29"
"180","1.18"
"1000","6.76"
"480","0.29"
"3600","0.29"
"120","1.18"
"4500","0.59"
"1700","0.29"
"410","0.29"
"700","2.35"
"3000","1.47"
"1320","0.29"
"5000","1.47"
"1400","0.59"
"80","0.59"
"1500","3.24"
"450","3.53"
"750","1.18"
"900","0.59"
"1600","0.29"
"1300","0.29"
"0","26.76"
"20","0.29"
"210","0.29"
"350","1.76"
"600","2.65"
"1800","0.88"
"500","3.82"
"1050","0.29"
"130","1.18"
"7000","0.29"
"3200","0.29"
"4800","0.29"
"420","0.59"
"Não Respondidos", "7.94","27"

"Alimentação","PERCENTUAL"
"2100","0.29"
"150","3.50"
"30","0.87"
"2250","0.29"
"10000","0.29"
"300","9.62"
"320","0.29"
"2500","1.17"
"40","0.29"
"1250","0.29"
"50","2.62"
"400","7.87"
"2000","3.50"
"800","2.33"
"100","8.16"
"200","6.41"
"250","2.04"
"1200","0.29"
"180","0.58"
"1000","5.25"
"2400","0.29"
"120","0.58"
"95","0.29"
"240","0.58"
"700","4.08"
"3000","0.87"
"5000","0.29"
"1600","0.29"
"1500","4.37"
"450","2.33"
"750","0.58"
"900","2.04"
"25","0.29"
"0","9.62"
"210","0.87"
"600","4.96"
"350","1.75"
"70","0.58"
"500","8.16"
"1800","0.58"
"13","0.29"
"1207","0.29"
"Não Respondidos", "7.00","24"

"Transporte","PERCENTUAL"
"2100","0.31"
"150","5.21"
"30","2.45"
"1940","0.61"
"2200","0.31"
"300","3.68"
"850","0.31"
"550","0.31"
"70","2.15"
"56","0.31"
"2500","0.61"
"4000","0.31"
"40","0.61"
"50","6.13"
"400","0.61"
"85","0.31"
"2000","0.92"
"800","2.15"
"100","7.06"
"110","0.61"
"8400","0.31"
"650","0.31"
"200","4.60"
"950","0.31"
"5","0.61"
"250","1.23"
"1200","1.23"
"3500","0.61"
"180","0.61"
"1000","3.07"
"8000","0.61"
"1590","0.31"
"1900","0.61"
"65","0.31"
"1080","0.31"
"120","0.61"
"1700","0.92"
"410","0.31"
"60","1.84"
"700","0.92"
"2300","0.31"
"3000","1.53"
"1100","0.61"
"5000","0.31"
"1300","0.61"
"1500","3.37"
"80","0.31"
"10","0.31"
"1400","0.31"
"900","0.92"
"8300","0.31"
"25","1.23"
"0","28.22"
"15","0.61"
"20","1.23"
"8500","0.31"
"1050","0.31"
"350","0.92"
"1800","0.61"
"600","0.61"
"500","1.53"
"130","0.61"
"35","0.31"
"Não Respondidos", "12.58","41"

"Passeios e lazer","PERCENTUAL"
"150","3.58"
"30","0.98"
"280","0.33"
"140","0.33"
"300","5.54"
"45","0.33"
"160","0.98"
"370","0.33"
"75","0.65"
"40","0.98"
"50","1.95"
"400","1.63"
"85","0.33"
"2000","0.65"
"800","0.33"
"100","6.51"
"200","6.51"
"230","0.33"
"250","2.93"
"360","0.33"
"1200","0.33"
"180","0.65"
"1000","1.95"
"120","0.33"
"60","0.98"
"700","0.65"
"270","0.33"
"3000","0.33"
"5000","0.33"
"80","0.65"
"25","0.33"
"0","44.95"
"20","0.65"
"600","0.98"
"350","0.98"
"70","0.98"
"500","6.84"
"175","0.65"
"35","1.63"
"Não Respondidos", "19.54","60"

"Compras","PERCENTUAL"
"57","0.36"
"150","3.61"
"30","0.72"
"300","4.69"
"40","0.36"
"50","6.86"
"400","3.25"
"85","0.36"
"2000","1.08"
"100","7.94"
"200","7.94"
"230","0.36"
"250","0.72"
"1200","0.72"
"180","0.36"
"1000","3.61"
"65","0.36"
"3","0.36"
"670","0.36"
"95","0.36"
"60","0.72"
"12","0.72"
"1300","0.36"
"80","1.81"
"1500","0.36"
"172","0.36"
"0","42.24"
"15","0.36"
"20","0.72"
"600","0.72"
"70","1.44"
"500","5.78"
"Não Respondidos", "32.49","90"

"Outros","PERCENTUAL"
"150","0.68"
"25","0.68"
"50","2.72"
"0","89.12"
"300","1.36"
"1000","0.68"
"120","0.68"
"100","0.68"
"70","0.68"
"500","0.68"
"200","1.36"
"30000","0.68"
"",""

"27- Como avalia os preços dos bens e serviços adquiridos nesta localidade?","PERCENTUAL"
"Baixos","2.18"
"Não sabe","0.54"
"Elevados","34.06"
"Normais","63.22"


"28- Qualifique os itens abaixo, em uma escala de 1 a 5 para os seguintes quesitos nesta localidade, quanto à:","PERCENTUAL"


"Atrativos naturais","PERCENTUAL"
"5","80.65"
"3","2.18"
"?","5.18"
"4","11.99"


"Patrimônio cultural","PERCENTUAL"
"5","29.43"
"2","6.81"
"1","7.63"
"3","15.26"
"?","23.71"
"4","17.17"


"Manifestações culturais","PERCENTUAL"
"2","10.90"
"5","11.72"
"1","5.99"
"3","14.99"
"?","40.05"
"4","16.35"


"Equipamentos de lazer","PERCENTUAL"
"2","5.18"
"5","31.88"
"1","3.00"
"3","14.44"
"?","22.34"
"4","23.16"


"Passeios diversos","PERCENTUAL"
"2","0.82"
"5","37.33"
"1","0.54"
"3","4.63"
"?","40.33"
"4","16.35"


"Serviços de receptivo","PERCENTUAL"
"2","1.63"
"5","37.87"
"1","0.27"
"3","7.08"
"?","38.96"
"4","14.17"


"Informações turísticas","PERCENTUAL"
"2","4.63"
"5","22.07"
"1","1.36"
"3","10.35"
"?","38.69"
"4","22.89"


"Guias de turismo","PERCENTUAL"
"2","1.09"
"5","13.08"
"1","0.54"
"3","4.63"
"?","69.21"
"4","11.44"


"Meios de hospedagem","PERCENTUAL"
"2","1.63"
"5","51.23"
"3","7.63"
"?","16.62"
"4","22.89"


"Locadora de veículos","PERCENTUAL"
"2","1.36"
"5","7.08"
"1","0.82"
"3","2.45"
"?","83.11"
"4","5.18"


"Restaurantes/bares","PERCENTUAL"
"2","2.18"
"5","46.59"
"1","1.09"
"3","12.53"
"?","4.90"
"4","32.70"


"Locadora de veículos","PERCENTUAL"
"2","1.36"
"5","7.36"
"1","0.82"
"3","1.36"
"?","83.92"
"4","5.18"


"Compras/comércio","PERCENTUAL"
"2","3.27"
"5","18.26"
"1","1.09"
"3","20.44"
"?","28.07"
"4","28.88"


"Diversões noturnas","PERCENTUAL"
"2","1.36"
"5","47.41"
"1","1.63"
"3","8.17"
"?","23.43"
"4","17.98"


"Acolhida do povo","PERCENTUAL"
"2","0.82"
"5","61.58"
"1","0.54"
"3","8.45"
"?","5.45"
"4","23.16"


"Atendimento dos serviços","PERCENTUAL"
"2","2.72"
"5","36.78"
"1","1.36"
"3","15.26"
"?","4.36"
"4","39.51"


"Acessibilidade","PERCENTUAL"
"2","21.25"
"5","10.90"
"1","18.26"
"3","29.97"
"?","5.72"
"4","13.90"


"Comunicações","PERCENTUAL"
"2","9.54"
"5","22.34"
"1","10.35"
"3","21.80"
"?","9.81"
"4","26.16"


"Sinalização urbana e turística","PERCENTUAL"
"5","18.26"
"2","13.90"
"1","7.08"
"3","21.53"
"?","10.08"
"4","29.16"


"Limpeza pública","PERCENTUAL"
"5","16.35"
"2","13.90"
"1","9.54"
"3","25.34"
"?","4.09"
"4","30.79"


"Segurança pública","PERCENTUAL"
"2","19.62"
"5","11.17"
"1","17.17"
"3","19.62"
"?","7.90"
"4","24.52"


"Transporte público","PERCENTUAL"
"5","5.72"
"2","10.08"
"1","6.27"
"3","8.45"
"?","62.13"
"4","7.36"


"Táxi/ Uber/ Transfer","PERCENTUAL"
"2","3.54"
"5","12.53"
"1","0.82"
"3","7.90"
"?","65.67"
"4","9.54"


"Rodoviária","PERCENTUAL"
"2","5.99"
"5","2.45"
"1","3.81"
"3","6.27"
"?","76.02"
"4","5.45"


"Aeroporto (acesso)","PERCENTUAL"
"2","11.44"
"5","10.08"
"1","12.26"
"3","12.26"
"?","41.96"
"4","11.99"


"Aeroporto (estrutura)","PERCENTUAL"
"2","3.00"
"5","28.88"
"1","1.63"
"3","7.63"
"?","42.78"
"4","16.08"


"Nome","PERCENTUAL"
"Erika","0.27"
"Gleidson","0.27"
"Henrique","0.27"
"Myrella","0.27"
"Adriana","0.82"
"Magnos","0.27"
"Kathia","0.27"
"Julio lins","0.27"
"Jane","0.55"
"Edilson
","0.27"
"Marie","0.27"
"Tarsus","0.27"
"Suely","0.27"
"Elvira","0.27"
"PRHilda","0.27"
"Alan","0.27"
"Elis","0.27"
"Angela","0.27"
"Johan","0.27"
"Mirella","0.27"
"Bernardo","0.27"
"Roni","0.27"
"Menderson","0.27"
"Alessandra","0.27"
"Vanessa uribe chile","0.27"
"Freddy","0.27"
"Gilberto","0.55"
"Gabriele","0.27"
"Fernando","0.27"
"Willian","0.27"
"Jose Luiz","0.27"
"Roberta","0.27"
"Yasmim medeiros","0.27"
"Avianca","0.27"
"Claudia","0.27"
"Fabiana","0.55"
"Paula","0.27"
"Adeilton","0.27"
"Gustavo","0.55"
"Bruno solto","0.27"
"Gisella","0.27"
"Juliana","0.55"
"Tito","0.27"
"Constancia","0.27"
"Jailton","0.27"
"Valdenir","0.27"
"Bruno azevedo","0.27"
"Thiago","0.27"
"Helen","0.27"
"Afonso","0.27"
"Amanda severiano","0.27"
"Ricardo","1.10"
"Vitor","0.27"
"Camila","0.27"
"Joana","0.27"
"Pablo","0.27"
"Mariana","0.82"
"Daiana","0.27"
"Tailane","0.27"
"Dário","0.27"
"Maria gomes","0.27"
"Ludmila Carvalho","0.27"
"Margareth Pereira","0.27"
"Adílio","0.27"
"Gilmar ( centro) ","0.27"
"Ligia","0.27"
"Laerte","0.27"
"Alisson","0.27"
"Mario","0.55"
"João Paulo","0.27"
"Ismael","0.27"
"Eunice","0.27"
"Martin","0.55"
"Antônio","0.55"
"Sergio","0.27"
"João","0.55"
"Jordano","0.27"
"Alexandre","0.27"
"Regivaldo","0.27"
"Gustavo roots","0.27"
"Marcondes Gomes","0.27"
"Gustavo veras","0.27"
"Lívia","0.27"
"Rodrigo","0.55"
"Leandro","0.27"
"Cristiano","0.27"
"Sandra","0.27"
"Klerio","0.27"
"Pedro","0.82"
"Viviane ","0.27"
"Jeferson saldanha centro","0.27"
"Flaviana","0.27"
"Alejandro zamora","0.27"
"Miranda","0.27"
"Lucia","0.27"
"Aparecida","0.27"
"Messias","0.27"
"Valmir","0.27"
"Francisco Wiry","0.27"
"Fatima Andrade","0.27"
"Jeremias","0.55"
"Rafaella","0.27"
"Lorena","0.27"
"Cyntia","0.27"
"Agustina","0.27"
"Welleton","0.27"
"Barbara","0.27"
"Martelo","0.27"
"Juliano","0.55"
"Tatiane","0.27"
"Solange","0.27"
"Barbara toscano","0.27"
"Carlos","0.82"
"MTAntonio","0.27"
"Jessica","0.55"
"Geraldo","0.27"
"Valdir","0.27"
"Manoel Gerson  ","0.27"
"Rufino","0.27"
"Olie","0.27"
"Albanisa dos reis silva","0.27"
"Lucas","0.27"
"Karina","0.82"
"Laura","0.55"
"José Cleidio Horácio Júnior","0.27"
"Filipe","0.27"
"Claudia coelho","0.27"
"Silvio","0.27"
"Denise","0.27"
"Erivaldo Coelho","0.27"
"Giovane","0.27"
"Marrye","0.27"
"Joice","0.27"
"José","0.27"
"Hamilton","0.27"
"João Antônio","0.27"
"Andrea Gomes","0.27"
"Daniela","0.27"
"Eder","0.27"
"Micheli","0.55"
"Arivelton _casa cultural","0.27"
"Glalber","0.27"
"Genilson","0.27"
"Valéria","0.27"
"Wilian","0.27"
"Guilherme","0.55"
"Karem","0.27"
"Aline","0.55"
"Anderson","0.27"
"Nathalia","0.27"
"Luzevandro ","0.27"
"Teresa","0.27"
"Marina","0.27"
"Eleocrei","0.27"
"Maria de Lourdes Alves Lemos","0.27"
"Eduardo anibal","0.27"
"Hadoyka","0.27"
"Eduardo","0.27"
"Cielo Arau","0.27"
"Cida","0.27"
"Damien","0.27"
"Jardiene","0.27"
"Regina","0.27"
"Miguel","0.55"
"Soraya","0.27"
"Tam","0.27"
"Luan","0.27"
"Abilio","0.27"
"Roger oliveira","0.27"
"Roberta Almeida","0.27"
"Paulo Victor","0.27"
"Matheus","0.55"
"Ellena Basto","0.27"
"Edgard","0.27"
"Thales","0.27"
"Bruno Cardoso","0.27"
"Eudes","0.27"
"Vera Lúcia","0.27"
"Luciano Rebouças centro","0.27"
"Ana Amelia","0.27"
"Isabela Reis","0.27"
"Suleni Maria Borges","0.27"
"Richelle","0.27"
"Ana Cristina Portmann","0.27"
"Arthur","0.55"
"Juliano _ casa cultura","0.27"
"Eduardo Mibielli","0.27"
"Maisa","0.55"
"Simone","0.27"
"Giovana","0.27"
"Fátima","0.27"
"Danillo Barata","0.27"
"Gilvan","0.27"
"Diogo","0.55"
"Vinicius","0.27"
"Stwart","0.27"
"Andrea","0.27"
"Ramon Guilherme","0.27"
"Rosana","0.27"
"Luzia","0.27"
"Rafael","0.82"
"Gilmar","0.27"
"Ivan","0.27"
"Juan Auger","0.27"
"Alain","0.27"
"Elenilde","0.27"
"Bianca","0.27"
"Rosani","0.27"
"Richardson","0.27"
"Danielle","0.27"
"José Erton","0.27"
"Ramon","0.27"
"Rodolfo","0.27"
"Caroline","0.27"
"Gutierres","0.27"
"Victor Pereira","0.27"
"Gabrielle","0.27"
"Maria","0.55"
"Kayalu","0.27"
"Nanda","0.27"
"Caju","0.27"
"Vitoria","0.27"
"Francisca","0.27"
"Andréa","0.27"
"André Alves","0.27"
"Tamila Gargitter","0.27"
"Sara","0.27"
"Roberto","0.55"
"Mineli Andre","0.27"
"Gilete","0.27"
"Laís","0.27"
"Priscila","0.27"
"Dimitri","0.27"
"Laurindo","0.27"
"Hugo delulo","0.27"
"Induina","0.27"
"Sarah ","0.27"
"Amanda","0.27"
"Cristiana avo do Pedrinho","0.27"
"Haoan","0.27"
"Francisco","0.27"
"Ana","0.27"
"Azul","0.27"
"Marilia","0.27"
"Júlia","0.27"
"Mabel","0.27"
"Waldemar","0.27"
"Cassio","0.27"
"Liliane","0.27"
"Diego Henrique","0.27"
"Sílvio","0.27"
"Fornari","0.27"
"Jimmy","0.27"
"Gol Ojs8114","0.27"
"Isa","0.27"
"Juca","0.27"
"Maria Belem","0.27"
"Jonas","0.27"
"Gabriel","0.55"
"Javier","0.55"
"Gisely","0.27"
"Clovis","0.27"
"Vera","0.27"
"Diego","0.55"
"Jorge","0.55"
"Maximiliano","0.27"
"Joao","0.55"
"Luiza","0.27"
"Maiara","0.27"
"Saulo","0.55"
"Marcos","0.55"
"Jardinense","0.27"
"David","0.27"
"Flavia","0.27"
"Mário","0.27"
"Valeria","0.27"
"Albania","0.27"
"Moab Dantas","0.27"
"Brenda","0.27"
"Silvina","0.27"
"Kimi","0.27"
"Braisy","0.27"
"Flavius","0.27"
"Antonio","0.82"
"Lidiane","0.27"
"Fernando Macedo","0.27"
"Ivaí de Sousa Guimarães","0.27"
"Ingrid Reis","0.27"
"Suzana","0.55"
"Caio","0.27"
"Gol","0.55"
"Bruno","0.55"
"Augusto","0.27"
"Alcemir","0.27"
"Pablo moran","0.27"
"Osni","0.27"
"Cintia (centro)","0.27"
"Debora","0.27"
"Alba Euzébio","0.27"
"Caue","0.27"
"Aldeney","0.27"
"Mirian","0.27"
"Isabel alves","0.27"
"Suely Bastos","0.27"
"Rafaela","0.82"
"Marcela","0.27"
"Juliette","0.27"
"Lara","0.27"
"Wendel","0.27"
"Lucas coelho","0.27"
"Tainara","0.27"
"Não Respondidos", "0.82","3"

